DATE,CUUR0000SEHA
2015-01-01,281.572
2015-02-01,282.389
2015-03-01,283.130
2015-04-01,283.598
2015-05-01,284.245
2015-06-01,285.031
2015-07-01,286.090
2015-08-01,287.068
2015-09-01,288.306
2015-10-01,289.428
2015-11-01,290.322
2015-12-01,291.204
2016-01-01,292.004
2016-02-01,292.777
2016-03-01,293.489
2016-04-01,294.175
2016-05-01,295.036
2016-06-01,295.902
2016-07-01,296.862
2016-08-01,297.916
2016-09-01,298.962
2016-10-01,300.400
2016-11-01,301.587
2016-12-01,302.735
2017-01-01,303.467
2017-02-01,304.211
2017-03-01,304.868
2017-04-01,305.477
2017-05-01,306.379
2017-06-01,307.314
2017-07-01,308.173
2017-08-01,309.479
2017-09-01,310.268
2017-10-01,311.501
2017-11-01,312.670
2017-12-01,313.904
2018-01-01,314.788
2018-02-01,315.277
2018-03-01,315.883
2018-04-01,316.763
2018-05-01,317.490
2018-06-01,318.318
2018-07-01,319.351
2018-08-01,320.651
2018-09-01,321.533
2018-10-01,322.628
2018-11-01,323.968
2018-12-01,324.815
2019-01-01,325.597
2019-02-01,326.351
2019-03-01,327.513
2019-04-01,328.678
2019-05-01,329.333
2019-06-01,330.648
2019-07-01,331.605
2019-08-01,332.638
2019-09-01,333.834
2019-10-01,334.680
2019-11-01,335.819
2019-12-01,336.789
2020-01-01,337.825
2020-02-01,338.616
2020-03-01,339.519
2020-04-01,340.135
2020-05-01,340.811
2020-06-01,341.294
2020-07-01,341.950
2020-08-01,342.444
2020-09-01,342.910
2020-10-01,343.615
2020-11-01,344.039
2020-12-01,344.455
2021-01-01,344.758
2021-02-01,345.242
2021-03-01,345.717
2021-04-01,346.267
2021-05-01,347.016
2021-06-01,347.833
2021-07-01,348.469
2021-08-01,349.710
2021-09-01,351.255
2021-10-01,352.892
2021-11-01,354.526
2021-12-01,355.931
2022-01-01,357.737
2022-02-01,359.627
2022-03-01,361.083
2022-04-01,362.951
2022-05-01,365.116
2022-06-01,367.927
2022-07-01,370.448
2022-08-01,373.283
2022-09-01,376.569
2022-10-01,379.436
2022-11-01,382.562
2022-12-01,385.649
2023-01-01,388.372
2023-02-01,391.141
2023-03-01,392.910
2023-04-01,394.898
2023-05-01,396.726
2023-06-01,398.593
2023-07-01,400.210
2023-08-01,402.247
2023-09-01,404.487
2023-10-01,406.683
2023-11-01,408.838
2023-12-01,410.606
2024-01-01,412.019
2024-02-01,413.695
2024-03-01,415.219
2024-04-01,416.386
2024-05-01,417.772
2024-06-01,418.820
2024-07-01,420.577
2024-08-01,422.223
2024-09-01,423.821
2024-10-01,425.381
